config_hash,top_k,question_id,question_type,source_doc,n_gold_chunks,gold_chunk_ids,retrieved_chunk_ids,hit,strict_hit,lenient_hit,notes
1fbb3d49,3,Q01,factoid,01_BLOOM,2,01_BLOOM_0004;01_BLOOM_0005,01_BLOOM_0002;01_BLOOM_0005;01_BLOOM_0000,True,,,
1fbb3d49,3,Q02,factoid,01_BLOOM,2,01_BLOOM_0006;01_BLOOM_0007,01_BLOOM_0007;01_BLOOM_0008;01_BLOOM_0002,True,,,
1fbb3d49,3,Q03,synthesis,01_BLOOM,3,01_BLOOM_0003;01_BLOOM_0004;01_BLOOM_0005,01_BLOOM_0005;01_BLOOM_0004;01_BLOOM_0007,True,,,
1fbb3d49,3,Q04,numerical,02_IEA,2,02_IEA_0006;02_IEA_0007,02_IEA_0036;02_IEA_0022;02_IEA_0037,False,,,
1fbb3d49,3,Q05,factoid,02_IEA,2,02_IEA_0011;02_IEA_0012,02_IEA_0013;02_IEA_0015;02_IEA_0147,False,,,
1fbb3d49,3,Q06,synthesis,02_IEA,3,02_IEA_0006;02_IEA_0007;02_IEA_0008,02_IEA_0142;02_IEA_0067;04_EPRI_0003,False,,,
1fbb3d49,3,Q07,factoid,03_Google,4,03_Google_0000;03_Google_0001;03_Google_0008;03_Google_0009,03_Google_0039;03_Google_0089;03_Google_0001,True,,,
1fbb3d49,3,Q08,factoid,03_Google,4,03_Google_0003;03_Google_0004;03_Google_0006;03_Google_0007,03_Google_0089;04_EPRI_0012;04_EPRI_0010,False,,,
1fbb3d49,3,Q09,synthesis,03_Google,4,03_Google_0001;03_Google_0002;03_Google_0013;03_Google_0014,03_Google_0052;03_Google_0039;03_Google_0002,True,,,
1fbb3d49,3,Q10,numerical,04_EPRI,2,04_EPRI_0009;04_EPRI_0010,04_EPRI_0010;02_IEA_0025;04_EPRI_0000,True,,,
1fbb3d49,3,Q11,factoid,04_EPRI,2,04_EPRI_0009;04_EPRI_0010,02_IEA_0143;02_IEA_0034;04_EPRI_0023,False,,,
1fbb3d49,3,Q12,numerical,05_Greenpeace,3,05_Greenpeace_0001;05_Greenpeace_0002;05_Greenpeace_0011,05_Greenpeace_0001;05_Greenpeace_0000;05_Greenpeace_0003,True,,,
1fbb3d49,3,Q13,multi-doc,01_BLOOM+05_Greenpeace,13,01_BLOOM_0002;01_BLOOM_0003;01_BLOOM_0004;01_BLOOM_0005;05_Greenpeace_0002;05_Greenpeace_0003;05_Greenpeace_0004;05_Greenpeace_0007;05_Greenpeace_0008;05_Greenpeace_0009;05_Greenpeace_0010;05_Greenpeace_0011;05_Greenpeace_0012,03_Google_0063;05_Greenpeace_0014;01_BLOOM_0009,False,False,False,Q13 multi-doc: hit=lenient_hit (§11 E.2). strict_hit requires chunks from both source docs.
6e091273,3,Q01,factoid,01_BLOOM,5,01_BLOOM_0019;01_BLOOM_0020;01_BLOOM_0021;01_BLOOM_0022;01_BLOOM_0023,01_BLOOM_0011;01_BLOOM_0020;01_BLOOM_0033,True,,,
6e091273,3,Q02,factoid,01_BLOOM,7,01_BLOOM_0025;01_BLOOM_0026;01_BLOOM_0027;01_BLOOM_0028;01_BLOOM_0029;01_BLOOM_0030;01_BLOOM_0031,01_BLOOM_0028;01_BLOOM_0033;01_BLOOM_0019,True,,,
6e091273,3,Q03,synthesis,01_BLOOM,8,01_BLOOM_0016;01_BLOOM_0017;01_BLOOM_0018;01_BLOOM_0019;01_BLOOM_0020;01_BLOOM_0021;01_BLOOM_0022;01_BLOOM_0023,01_BLOOM_0022;01_BLOOM_0023;01_BLOOM_0018,True,,,
6e091273,3,Q04,numerical,02_IEA,6,02_IEA_0024;02_IEA_0025;02_IEA_0026;02_IEA_0027;02_IEA_0028;02_IEA_0029,02_IEA_0138;02_IEA_0026;02_IEA_0147,True,,,
6e091273,3,Q05,factoid,02_IEA,6,02_IEA_0046;02_IEA_0047;02_IEA_0048;02_IEA_0049;02_IEA_0050;02_IEA_0051,02_IEA_0049;02_IEA_0051;02_IEA_0050,True,,,
6e091273,3,Q06,synthesis,02_IEA,10,02_IEA_0026;02_IEA_0027;02_IEA_0028;02_IEA_0029;02_IEA_0030;02_IEA_0031;02_IEA_0032;02_IEA_0033;02_IEA_0034;02_IEA_0035,02_IEA_0562;02_IEA_0238;02_IEA_0030,True,,,
6e091273,3,Q07,factoid,03_Google,10,03_Google_0002;03_Google_0003;03_Google_0004;03_Google_0005;03_Google_0006;03_Google_0034;03_Google_0035;03_Google_0036;03_Google_0037;03_Google_0038,03_Google_0104;03_Google_0009;02_IEA_0867,False,,,
6e091273,3,Q08,factoid,03_Google,10,03_Google_0014;03_Google_0015;03_Google_0016;03_Google_0017;03_Google_0025;03_Google_0026;03_Google_0027;03_Google_0028;03_Google_0029;03_Google_0030,03_Google_0028;03_Google_0027;03_Google_0333,True,,,
6e091273,3,Q09,synthesis,03_Google,8,03_Google_0006;03_Google_0007;03_Google_0008;03_Google_0009;03_Google_0010;03_Google_0056;03_Google_0057;03_Google_0058,03_Google_0142;03_Google_0104;03_Google_0143,False,,,
6e091273,3,Q10,numerical,04_EPRI,7,04_EPRI_0036;04_EPRI_0037;04_EPRI_0038;04_EPRI_0039;04_EPRI_0040;04_EPRI_0041;04_EPRI_0042,04_EPRI_0040;04_EPRI_0041;04_EPRI_0006,True,,,
6e091273,3,Q11,factoid,04_EPRI,5,04_EPRI_0036;04_EPRI_0037;04_EPRI_0038;04_EPRI_0039;04_EPRI_0040,02_IEA_0135;02_IEA_0569;05_Greenpeace_0013,False,,,
6e091273,3,Q12,numerical,05_Greenpeace,7,05_Greenpeace_0005;05_Greenpeace_0006;05_Greenpeace_0007;05_Greenpeace_0008;05_Greenpeace_0039;05_Greenpeace_0040;05_Greenpeace_0041,05_Greenpeace_0005;05_Greenpeace_0042;05_Greenpeace_0018,True,,,
6e091273,3,Q13,multi-doc,01_BLOOM+05_Greenpeace,40,01_BLOOM_0009;01_BLOOM_0010;01_BLOOM_0011;01_BLOOM_0012;01_BLOOM_0013;01_BLOOM_0014;01_BLOOM_0015;01_BLOOM_0016;01_BLOOM_0017;01_BLOOM_0018;01_BLOOM_0019;01_BLOOM_0020;01_BLOOM_0021;01_BLOOM_0022;01_BLOOM_0023;05_Greenpeace_0011;05_Greenpeace_0012;05_Greenpeace_0013;05_Greenpeace_0014;05_Greenpeace_0015;05_Greenpeace_0016;05_Greenpeace_0017;05_Greenpeace_0028;05_Greenpeace_0029;05_Greenpeace_0030;05_Greenpeace_0031;05_Greenpeace_0032;05_Greenpeace_0033;05_Greenpeace_0034;05_Greenpeace_0035;05_Greenpeace_0036;05_Greenpeace_0037;05_Greenpeace_0038;05_Greenpeace_0039;05_Greenpeace_0040;05_Greenpeace_0041;05_Greenpeace_0042;05_Greenpeace_0043;05_Greenpeace_0044;05_Greenpeace_0045,05_Greenpeace_0052;02_IEA_0663;05_Greenpeace_0051,False,False,False,Q13 multi-doc: hit=lenient_hit (§11 E.2). strict_hit requires chunks from both source docs.
6fb92835,3,Q01,factoid,01_BLOOM,3,01_BLOOM_0009;01_BLOOM_0010;01_BLOOM_0011,01_BLOOM_0013;01_BLOOM_0015;01_BLOOM_0016,False,,,
6fb92835,3,Q02,factoid,01_BLOOM,4,01_BLOOM_0012;01_BLOOM_0013;01_BLOOM_0014;01_BLOOM_0015,01_BLOOM_0014;01_BLOOM_0016;01_BLOOM_0013,True,,,
6fb92835,3,Q03,synthesis,01_BLOOM,5,01_BLOOM_0007;01_BLOOM_0008;01_BLOOM_0009;01_BLOOM_0010;01_BLOOM_0011,01_BLOOM_0011;01_BLOOM_0009;01_BLOOM_0007,True,,,
