config_hash,top_k,question_id,grader_id,grade,facts_present,notes
1fbb3d49,3,Q01,eze,2,F1,
1fbb3d49,3,Q02,eze,1,F3,
1fbb3d49,3,Q03,eze,3,F3;F4;F5;F6,
1fbb3d49,3,Q04,eze,1,,
1fbb3d49,3,Q05,eze,0,,refusal_auto
1fbb3d49,3,Q06,eze,1,,
1fbb3d49,3,Q07,eze,1,F1,
1fbb3d49,3,Q08,eze,0,,refusal_auto
1fbb3d49,3,Q09,eze,2,F4;F5;F6,
1fbb3d49,3,Q10,eze,5,F1;F2;F3;F4;F5;F6;F7,
1fbb3d49,3,Q11,eze,0,,refusal_auto
1fbb3d49,3,Q12,eze,3,F2;F3;F4;F5,
1fbb3d49,3,Q13,eze,1,,
6e091273,3,Q01,eze,0,,refusal_auto
6e091273,3,Q02,eze,2,F3;F5,
6e091273,3,Q03,eze,2,F5;F6,
6e091273,3,Q04,eze,0,,refusal_auto
6e091273,3,Q05,eze,4,F1;F2;F3,
6e091273,3,Q06,eze,1,F1,
6e091273,3,Q07,eze,0,,refusal_auto
6e091273,3,Q08,eze,1,F2,
6e091273,3,Q09,eze,0,,refusal_auto
6e091273,3,Q10,eze,4,F1;F2;F3;F4;F5;F7,
6e091273,3,Q11,eze,0,,refusal_auto
6e091273,3,Q12,eze,2,F4;F6,
6e091273,3,Q13,eze,0,,refusal_auto
6fb92835,3,Q01,eze,1,,
6fb92835,3,Q02,eze,1,F3,
6fb92835,3,Q03,eze,3,F3;F5;F6,
6fb92835,3,Q04,eze,3,F1;F3,
6fb92835,3,Q05,eze,3,F1;F2,
6fb92835,3,Q06,eze,1,,
6fb92835,3,Q07,eze,0,,refusal_auto
6fb92835,3,Q08,eze,1,F2,
6fb92835,3,Q09,eze,1,F4,
6fb92835,3,Q10,eze,2,F1;F2;F3,
6fb92835,3,Q11,eze,0,,refusal_auto
6fb92835,3,Q12,eze,0,,refusal_auto
6fb92835,3,Q13,eze,0,,refusal_auto
7dffb047,3,Q01,eze,3,F2;F3,
7dffb047,3,Q02,eze,2,F2;F3,
7dffb047,3,Q03,eze,3,F3;F4;F5;F6,
7dffb047,3,Q04,eze,1,,
7dffb047,3,Q05,eze,3,F1;F2,
7dffb047,3,Q06,eze,1,,
7dffb047,3,Q07,eze,0,,refusal_auto
7dffb047,3,Q08,eze,0,,refusal_auto
7dffb047,3,Q09,eze,2,F5;F6,
7dffb047,3,Q10,eze,5,F1;F2;F3;F4;F5;F6;F7,
7dffb047,3,Q11,eze,0,,refusal_auto
7dffb047,3,Q12,eze,0,,refusal_auto
7dffb047,3,Q13,eze,0,,refusal_auto
a9e9b27f,3,Q01,eze,5,F1;F2;F3;F4,
a9e9b27f,3,Q02,eze,2,F2;F3,
a9e9b27f,3,Q03,eze,2,F5;F6,
a9e9b27f,3,Q04,eze,3,F1;F3,
a9e9b27f,3,Q05,eze,3,F1;F2,
a9e9b27f,3,Q06,eze,1,F1,
a9e9b27f,3,Q07,eze,0,,refusal_auto
a9e9b27f,3,Q08,eze,3,F2;F4;F5,
a9e9b27f,3,Q09,eze,1,F4,
